j2p_over_j1,sector_index,n,m,source_qa,source_qb,sector_dimension,sector_energy_total,delta_energy_to_gs
0.3,0,0,0,0,0,225592,-11.519549698470291,0.0
0.3,1,1,5,0,1,225264,-10.738441988542458,0.7811077099278325
0.3,2,2,4,0,2,225570,-10.76132617581524,0.7582235226550509
0.3,3,3,3,0,3,225280,-10.660517814382484,0.8590318840878073
0.3,4,4,2,0,4,225570,-10.761326175814954,0.7582235226553369
0.3,5,5,1,0,5,225264,-10.738441988542075,0.7811077099282162
0.3,6,3,0,1,0,225280,-10.66051781438275,0.8590318840875408
0.3,7,4,5,1,1,225264,-10.73844198854241,0.7811077099278805
0.3,8,5,4,1,2,225264,-10.738441988542407,0.781107709927884
0.3,9,0,3,1,3,225280,-10.660517814382963,0.8590318840873277
0.3,10,1,2,1,4,225264,-10.738441988542723,0.7811077099275678
0.3,11,2,1,1,5,225264,-10.738441988542643,0.7811077099276478
0.35,0,0,0,0,0,225592,-11.272073189150204,0.0
0.35,1,1,5,0,1,225264,-10.612564444463366,0.6595087446868373
0.35,2,2,4,0,2,225570,-10.661151455369472,0.6109217337807316
0.35,3,3,3,0,3,225280,-10.567567274532838,0.704505914617366
0.35,4,4,2,0,4,225570,-10.661151455369659,0.610921733780545
0.35,5,5,1,0,5,225264,-10.612564444463306,0.6595087446868977
0.35,6,3,0,1,0,225280,-10.56756727453307,0.7045059146171333
0.35,7,4,5,1,1,225264,-10.612564444463532,0.6595087446866721
0.35,8,5,4,1,2,225264,-10.61256444446382,0.6595087446863843
0.35,9,0,3,1,3,225280,-10.567567274532738,0.7045059146174655
0.35,10,1,2,1,4,225264,-10.612564444463763,0.6595087446864412
0.35,11,2,1,1,5,225264,-10.612564444463564,0.6595087446866401
0.4,0,0,0,0,0,225592,-11.04820721352187,0.0
0.4,1,1,5,0,1,225264,-10.505166244619907,0.5430409689019626
0.4,2,2,4,0,2,225570,-10.57480398321159,0.4734032303102804
0.4,3,3,3,0,3,225280,-10.488798922342827,0.559408291179043
0.4,4,4,2,0,4,225570,-10.574803983211519,0.4734032303103515
0.4,5,5,1,0,5,225264,-10.505166244619877,0.5430409689019928
0.4,6,3,0,1,0,225280,-10.488798922343,0.5594082911788707
0.4,7,4,5,1,1,225264,-10.505166244619664,0.543040968902206
0.4,8,5,4,1,2,225264,-10.50516624462009,0.5430409689017797
0.4,9,0,3,1,3,225280,-10.488798922343419,0.5594082911784515
0.4,10,1,2,1,4,225264,-10.505166244619863,0.543040968902007
0.4,11,2,1,1,5,225264,-10.505166244619849,0.5430409689020212
0.45,0,0,0,0,0,225592,-10.852684150621396,0.0
0.45,1,1,5,0,1,225264,-10.418075083405203,0.4346090672161935
0.45,2,2,4,0,2,225570,-10.503581723353733,0.3491024272676633
0.45,3,3,3,0,3,225280,-10.425650716193788,0.4270334344276083
0.45,4,4,2,0,4,225570,-10.503581723353928,0.3491024272674679
0.45,5,5,1,0,5,225264,-10.41807508340482,0.43460906721657544
0.45,6,3,0,1,0,225280,-10.425650716193818,0.42703343442757813
0.45,7,4,5,1,1,225264,-10.418075083405395,0.4346090672160017
0.45,8,5,4,1,2,225264,-10.418075083405432,0.4346090672159644
0.45,9,0,3,1,3,225280,-10.425650716193779,0.4270334344276172
0.45,10,1,2,1,4,225264,-10.418075083405279,0.43460906721611714
0.45,11,2,1,1,5,225264,-10.41807508340476,0.43460906721663584
0.5,0,0,0,0,0,225592,-10.690587191002,0.0
0.5,1,1,5,0,1,225264,-10.353162551605147,0.3374246393968541
0.5,2,2,4,0,2,225570,-10.454315999709108,0.23627119129289298
0.5,3,3,3,0,3,225280,-10.379578570096282,0.311008620905719
0.5,4,4,2,0,4,225570,-10.454315999709207,0.2362711912927935
0.5,5,5,1,0,5,225264,-10.353162551605033,0.33742463939696776
0.5,6,3,0,1,0,225280,-10.379578570096175,0.3110086209058256
0.5,7,4,5,1,1,225264,-10.353162551604802,0.3374246393971987
0.5,8,5,4,1,2,225264,-10.353162551604997,0.3374246393970033
0.5,9,0,3,1,3,225280,-10.379578570096255,0.31100862090574566
0.5,10,1,2,1,4,225264,-10.353162551604726,0.3374246393972751
0.5,11,2,1,1,5,225264,-10.353162551605319,0.33742463939668177
0.55,0,0,0,0,0,225592,-10.566396314299151,0.0
0.55,1,1,5,0,1,225264,-10.312334699759868,0.25406161453928355
0.55,2,2,4,0,2,225570,-10.428223151499044,0.13817316280010772
0.55,3,3,3,0,3,225280,-10.35197138547941,0.2144249288197404
0.55,4,4,2,0,4,225570,-10.42822315149886,0.13817316280029068
0.55,5,5,1,0,5,225264,-10.312334699759791,0.25406161453935994
0.55,6,3,0,1,0,225280,-10.351971385479278,0.21442492881987363
0.55,7,4,5,1,1,225264,-10.31233469975977,0.25406161453938125
0.55,8,5,4,1,2,225264,-10.312334699759692,0.2540616145394594
0.55,9,0,3,1,3,225280,-10.351971385479473,0.21442492881967823
0.55,10,1,2,1,4,225264,-10.312334699759532,0.2540616145396193
0.55,11,2,1,1,5,225264,-10.312334699759754,0.25406161453939724
0.6,0,0,0,0,0,225592,-10.483237362068953,0.0
