j2p_over_j1,gs_sector_index,gs_n,gs_m,source_gs_qa,source_gs_qb,gs_energy_total,gs_energy_per_site,first_excited_energy_total,many_body_gap,gamma_energy_total,gamma_excess_per_site,energy_curvature
0.3,0,0,0,0,0,-11.519549698470291,-0.47998123743626214,-10.76132617581524,0.7582235226550509,-11.519549698470291,0.0,
0.35,0,0,0,0,0,-11.272073189150204,-0.4696697162145918,-10.661151455369659,0.610921733780545,-11.272073189150204,0.0,-0.39350889486258633
0.4,0,0,0,0,0,-11.04820721352187,-0.4603419672300779,-10.57480398321159,0.4734032303102804,-11.04820721352187,0.0,-0.4723818787976523
0.45,0,0,0,0,0,-10.852684150621396,-0.4521951729425582,-10.503581723353928,0.3491024272674679,-10.852684150621396,0.0,-0.5571017213513053
0.5,0,0,0,0,0,-10.690587191002,-0.4454411329584167,-10.454315999709207,0.2362711912927935,-10.690587191002,0.0,-0.6317680486090961
0.55,0,0,0,0,0,-10.566396314299151,-0.44026651309579795,-10.428223151499044,0.13817316280010772,-10.566396314299151,0.0,-0.6838654078775448
0.6,0,0,0,0,0,-10.483237362068953,-0.4368015567528731,-10.418774093280927,0.06446326878802644,-10.483237362068953,0.0,-0.7214958634699924
0.65,0,0,0,0,0,-10.443368161646957,-0.4351403400686232,-10.427159166917855,0.016208994729101533,-10.443368161646957,0.0,-0.7489236025732803
0.66,0,0,0,0,0,-10.440786571501084,-0.4350327738125452,-10.431069258367081,0.009717313134002481,-10.440786571501084,0.0,-0.7641692596471724
0.67,0,0,0,0,0,-10.440038987578365,-0.4350016244824319,-10.435740688134711,0.00429829944365423,-10.440038987578365,0.0,-0.7868155184920219
0.68,4,4,2,0,4,-10.441179760900027,-0.4350491567041678,-10.44117976089974,2.877698079828406e-13,-10.441132987250347,1.948902070022148e-06,-2.1132085212094784
0.69,2,2,4,0,2,-10.447392234672593,-0.4353080097780247,-10.447392234672309,2.8421709430404007e-13,-10.44406835033843,0.0001384951805901332,-0.32440907228367727
0.7,2,2,4,0,2,-10.454383290218638,-0.43559930375910993,-10.454383290218322,3.161915174132446e-13,-10.448834930604978,0.00023118165056919734,-0.32631543935734914
0.71,4,4,2,0,4,-10.462157502819142,-0.4359232292841309,-10.462157502818796,3.4638958368304884e-13,-10.45541095131937,0.0002811063124904904,-0.32795882828173706
0.72,4,4,2,0,4,-10.470718816607521,-0.43627995069198006,-10.470718816607167,3.5349501104064984e-13,-10.463762023725149,0.00028986637009883093,-0.3293297116807589
0.73,4,4,2,0,4,-10.480070521703935,-0.4366696050709973,-10.48007052170369,2.4513724383723456e-13,-10.473841096104584,0.00025955939997294547,-0.33041979724979215
0.74,4,4,2,0,4,-10.490215234313748,-0.4370923014297395,-10.490215234313666,8.171241461241152e-14,-10.485589390848135,0.00019274347773386621,-0.3312220796464195
0.75,2,2,4,0,2,-10.501154879914711,-0.4375481199964463,-10.5011548799146,1.1191048088221578e-13,-10.498938216961122,9.23609563995657e-05,-0.7153664066239505
0.76,0,0,0,0,0,-10.513811404891573,-0.43807547520381557,-10.5128906796225,0.0009207252690739409,-10.513811404891573,0.0,-1.9008943238946159
0.77,0,0,0,0,0,-10.531030076245782,-0.43879291984357427,-10.5254231397779,0.005606936467883017,-10.531030076245782,0.0,-3.7426589660272063
0.78,0,0,0,0,0,-10.557231129118456,-0.4398846303799357,-10.5387520447987,0.018479084319755756,-10.557231129118456,0.0,-0.17057393146946417
0.79,0,0,0,0,0,-10.583841559426657,-0.44099339830944406,-10.552876453278955,0.030965106147702315,-10.583841559426657,0.0,-0.16908797515646765
0.8,0,0,0,0,0,-10.610857800875234,-0.4421190750364681,-10.567794697362356,0.04306310351287834,-10.610857800875234,0.0,-0.16305329335080945
0.9,0,0,0,0,0,-10.902543250083305,-0.4542726354201377,-10.797820582652458,0.10472266743084724,-10.902543250083305,0.0,-0.1524686680759946
1.0,0,0,0,0,0,-11.230821179629613,-0.46795088248456723,-11.134880309609592,0.09594087002002105,-11.230821179629613,0.0,
