j2p,D,chi,M2,M,xi,inv_xi,energy,gnorm,eimag,source,status,fit_candidate,fit_used,path
0.3,6,448,0.03311204934470781,0.181967165567604,1.784215008187232,0.5604705685196556,nan,6.432e-06,9.729e-13,current_sweep,base_clean,True,True,"/sofia/scratch/pilot/pilot_2026_0002/xz/TeneT.jl/data/J1J2p_Honeycomb_merge(S=0.5,J1=1.0,J2p=0.3,ifrotate=false,couplingtype=uniform)/[1;;]/VUMPS_General/Float64/sofia1gpu_J2p0p30-0p50_D5-D8_fromJ2p0p5_seed88_2026-06-13_143719/D6/observable/χ448.log"
0.3,6,480,0.031122028852579645,0.176414366910917,2.211415980002663,0.4521989571581172,nan,6.432e-06,9.729e-13,current_sweep,base_clean,True,True,"/sofia/scratch/pilot/pilot_2026_0002/xz/TeneT.jl/data/J1J2p_Honeycomb_merge(S=0.5,J1=1.0,J2p=0.3,ifrotate=false,couplingtype=uniform)/[1;;]/VUMPS_General/Float64/sofia1gpu_J2p0p30-0p50_D5-D8_fromJ2p0p5_seed88_2026-06-13_143719/D6/observable/χ480.log"
0.3,6,512,0.030916459140560498,0.175830768469459,2.325250237749809,0.43006123976046545,nan,6.432e-06,9.729e-13,current_sweep,base_clean,True,True,"/sofia/scratch/pilot/pilot_2026_0002/xz/TeneT.jl/data/J1J2p_Honeycomb_merge(S=0.5,J1=1.0,J2p=0.3,ifrotate=false,couplingtype=uniform)/[1;;]/VUMPS_General/Float64/sofia1gpu_J2p0p30-0p50_D5-D8_fromJ2p0p5_seed88_2026-06-13_143719/D6/observable/χ512.log"
0.3,7,512,0.03209475064872957,0.179150078561885,1.944959229506551,0.5141495949268339,nan,3.485e-05,1.048e-11,current_sweep,base_clean,True,True,"/sofia/scratch/pilot/pilot_2026_0002/xz/TeneT.jl/data/J1J2p_Honeycomb_merge(S=0.5,J1=1.0,J2p=0.3,ifrotate=false,couplingtype=uniform)/[1;;]/VUMPS_General/Float64/sofia1gpu_J2p0p30-0p50_D5-D8_fromJ2p0p5_seed88_2026-06-13_143719/D7/observable/χ512.log"
0.3,8,512,0.029493802798139804,0.171737598673499,2.51230615048464,0.39804066069220645,nan,1.602e-05,6.46e-12,current_sweep,base_clean,True,True,"/sofia/scratch/pilot/pilot_2026_0002/xz/TeneT.jl/data/J1J2p_Honeycomb_merge(S=0.5,J1=1.0,J2p=0.3,ifrotate=false,couplingtype=uniform)/[1;;]/VUMPS_General/Float64/sofia1gpu_J2p0p30-0p50_D5-D8_fromJ2p0p5_seed88_2026-06-13_143719/D8/observable/χ512.log"
0.32,6,448,0.028852558805517743,0.169860409764953,1.792892866295245,0.5577578107421198,nan,8.462e-06,1.726e-10,current_sweep,base_clean,True,True,"/sofia/scratch/pilot/pilot_2026_0002/xz/TeneT.jl/data/J1J2p_Honeycomb_merge(S=0.5,J1=1.0,J2p=0.32,ifrotate=false,couplingtype=uniform)/[1;;]/VUMPS_General/Float64/sofia1gpu_J2p0p30-0p50_D5-D8_fromJ2p0p5_seed88_2026-06-13_143719/D6/observable/χ448.log"
0.32,6,480,0.02753155132147388,0.16592634306063,2.126561029331166,0.47024279397921365,nan,8.462e-06,1.726e-10,current_sweep,base_clean,True,True,"/sofia/scratch/pilot/pilot_2026_0002/xz/TeneT.jl/data/J1J2p_Honeycomb_merge(S=0.5,J1=1.0,J2p=0.32,ifrotate=false,couplingtype=uniform)/[1;;]/VUMPS_General/Float64/sofia1gpu_J2p0p30-0p50_D5-D8_fromJ2p0p5_seed88_2026-06-13_143719/D6/observable/χ480.log"
0.32,6,512,0.027275695748225668,0.165153552030302,2.21394225375334,0.4516829643161109,nan,8.462e-06,1.726e-10,current_sweep,base_clean,True,True,"/sofia/scratch/pilot/pilot_2026_0002/xz/TeneT.jl/data/J1J2p_Honeycomb_merge(S=0.5,J1=1.0,J2p=0.32,ifrotate=false,couplingtype=uniform)/[1;;]/VUMPS_General/Float64/sofia1gpu_J2p0p30-0p50_D5-D8_fromJ2p0p5_seed88_2026-06-13_143719/D6/observable/χ512.log"
0.32,7,512,0.027454384738135218,0.165693647247368,1.990856198440881,0.5022964495291724,nan,2.596e-05,5.408e-11,current_sweep,base_clean,True,True,"/sofia/scratch/pilot/pilot_2026_0002/xz/TeneT.jl/data/J1J2p_Honeycomb_merge(S=0.5,J1=1.0,J2p=0.32,ifrotate=false,couplingtype=uniform)/[1;;]/VUMPS_General/Float64/sofia1gpu_J2p0p30-0p50_D5-D8_fromJ2p0p5_seed88_2026-06-13_143719/D7/observable/χ512.log"
0.32,8,512,0.02553458036856322,0.159795432877674,2.469856283528602,0.40488185756757195,nan,1.637e-05,1.717e-12,current_sweep,base_clean,True,True,"/sofia/scratch/pilot/pilot_2026_0002/xz/TeneT.jl/data/J1J2p_Honeycomb_merge(S=0.5,J1=1.0,J2p=0.32,ifrotate=false,couplingtype=uniform)/[1;;]/VUMPS_General/Float64/sofia1gpu_J2p0p30-0p50_D5-D8_fromJ2p0p5_seed88_2026-06-13_143719/D8/observable/χ512.log"
