branch,D,chi,xi,energy,frontier,source
primary,4,192,0.936187310163946,-0.439774538524546,False,old_D4-D8
primary,4,224,0.935790940052841,-0.439783027462481,False,old_D4-D8
primary,4,256,0.937033548264252,-0.439783026537290,True,old_D4-D8
primary,5,384,1.139105377367600,-0.441394017893517,False,old_D4-D8
primary,5,416,1.151089491968520,-0.441394706551138,False,old_D4-D8
primary,5,448,1.153648622803880,-0.441394659243948,True,old_D4-D8
primary,6,448,1.487630946054250,-0.441940502180603,False,old_D4-D8
primary,6,480,1.493373430089510,-0.441940979951912,False,old_D4-D8
primary,6,512,1.495467786207590,-0.441940782895391,True,old_D4-D8
primary,7,448,1.669142919470280,-0.442033470139800,False,D6-good
primary,7,480,1.855577398833620,-0.442128025299284,False,D6-good
primary,7,512,1.880465256116631,-0.442151376868548,True,current_fill
primary,8,512,1.974653388355220,-0.442202730125689,False,D6-good;superseded_by_chi1024
primary,10,768,1.961587092526025,-0.442168932351604,False,bsc_h100_prod10_43227480
primary,10,1024,1.985864934683675,-0.442169942700751,False,bsc_h100_prod10_43282076;superseded_by_v24_ladder
metastable,7,448,1.487181020320130,-0.441937583590462,False,old_D4-D8
metastable,7,480,1.490123452893050,-0.441937612387790,False,old_D4-D8
metastable,7,512,1.492957892588060,-0.441937526844938,False,old_D4-D8
metastable,8,448,1.481290740762100,-0.441941741458209,False,old_D4-D8
metastable,8,480,1.485398811563160,-0.441941460792073,False,old_D4-D8
metastable,8,512,1.489703273065390,-0.441941387971588,False,old_D4-D8
primary,10,1024,2.17754901106338,-0.442227185770823,True,d10_v24_chi_ladder_J2p0p50_opt_iter8
primary,8,1024,2.02824738275512,-0.442171581143694,False,bsc_h100_d8_chi1024_2026-08-31_cpp_control_passed;superseded_by_chi1024_optimisation
primary,8,1024,2.01753708096001,-0.442173180633172,True,bsc_h100_d8_chi1024_optimised_2026-09-03
