j2p,k_over_pi,k,sector,band,gap,D,chi_tm,lattice,quality,source_job,quality_note,source_path,checkpoint,source_sha256
0.3,0.0,0.0,trivial,1,0.31813395876174755,8,256,merge,preliminary,43230054,old even-twelfth points; Arnoldi converged only 0-1 of 10 requested eigenvalues,D:\1 - research\1.24 - Honeycomb_J1J2\analysis\tm_spectrum_compare_20260714\tm_spectrum_J2p0p30_0p40_0p46_0p50_D8_chi256_kpi12.csv,/gpfs/projects/ehpc670/data/J1J2p_Honeycomb_merge(S=0.5,
0.3,0.0,0.0,trivial,2,0.32633473338399765,8,256,merge,preliminary,43230054,old even-twelfth points; Arnoldi converged only 0-1 of 10 requested eigenvalues,D:\1 - research\1.24 - Honeycomb_J1J2\analysis\tm_spectrum_compare_20260714\tm_spectrum_J2p0p30_0p40_0p46_0p50_D8_chi256_kpi12.csv,/gpfs/projects/ehpc670/data/J1J2p_Honeycomb_merge(S=0.5,
0.3,0.0,0.0,trivial,3,0.6134209139922537,8,256,merge,preliminary,43230054,old even-twelfth points; Arnoldi converged only 0-1 of 10 requested eigenvalues,D:\1 - research\1.24 - Honeycomb_J1J2\analysis\tm_spectrum_compare_20260714\tm_spectrum_J2p0p30_0p40_0p46_0p50_D8_chi256_kpi12.csv,/gpfs/projects/ehpc670/data/J1J2p_Honeycomb_merge(S=0.5,
0.3,0.0,0.0,trivial,4,0.7000489448099596,8,256,merge,preliminary,43230054,old even-twelfth points; Arnoldi converged only 0-1 of 10 requested eigenvalues,D:\1 - research\1.24 - Honeycomb_J1J2\analysis\tm_spectrum_compare_20260714\tm_spectrum_J2p0p30_0p40_0p46_0p50_D8_chi256_kpi12.csv,/gpfs/projects/ehpc670/data/J1J2p_Honeycomb_merge(S=0.5,
0.3,0.0,0.0,trivial,5,0.7003930357984124,8,256,merge,preliminary,43230054,old even-twelfth points; Arnoldi converged only 0-1 of 10 requested eigenvalues,D:\1 - research\1.24 - Honeycomb_J1J2\analysis\tm_spectrum_compare_20260714\tm_spectrum_J2p0p30_0p40_0p46_0p50_D8_chi256_kpi12.csv,/gpfs/projects/ehpc670/data/J1J2p_Honeycomb_merge(S=0.5,
0.3,0.0,0.0,trivial,6,0.7834492946670725,8,256,merge,preliminary,43230054,old even-twelfth points; Arnoldi converged only 0-1 of 10 requested eigenvalues,D:\1 - research\1.24 - Honeycomb_J1J2\analysis\tm_spectrum_compare_20260714\tm_spectrum_J2p0p30_0p40_0p46_0p50_D8_chi256_kpi12.csv,/gpfs/projects/ehpc670/data/J1J2p_Honeycomb_merge(S=0.5,
0.3,0.0,0.0,trivial,7,0.8705793874150765,8,256,merge,preliminary,43230054,old even-twelfth points; Arnoldi converged only 0-1 of 10 requested eigenvalues,D:\1 - research\1.24 - Honeycomb_J1J2\analysis\tm_spectrum_compare_20260714\tm_spectrum_J2p0p30_0p40_0p46_0p50_D8_chi256_kpi12.csv,/gpfs/projects/ehpc670/data/J1J2p_Honeycomb_merge(S=0.5,
0.3,0.0,0.0,trivial,8,0.8894332812068182,8,256,merge,preliminary,43230054,old even-twelfth points; Arnoldi converged only 0-1 of 10 requested eigenvalues,D:\1 - research\1.24 - Honeycomb_J1J2\analysis\tm_spectrum_compare_20260714\tm_spectrum_J2p0p30_0p40_0p46_0p50_D8_chi256_kpi12.csv,/gpfs/projects/ehpc670/data/J1J2p_Honeycomb_merge(S=0.5,
0.3,0.0,0.0,trivial,9,0.999485863426326,8,256,merge,preliminary,43230054,old even-twelfth points; Arnoldi converged only 0-1 of 10 requested eigenvalues,D:\1 - research\1.24 - Honeycomb_J1J2\analysis\tm_spectrum_compare_20260714\tm_spectrum_J2p0p30_0p40_0p46_0p50_D8_chi256_kpi12.csv,/gpfs/projects/ehpc670/data/J1J2p_Honeycomb_merge(S=0.5,
0.3,0.0,0.0,trivial,10,1.0773308320324673,8,256,merge,preliminary,43230054,old even-twelfth points; Arnoldi converged only 0-1 of 10 requested eigenvalues,D:\1 - research\1.24 - Honeycomb_J1J2\analysis\tm_spectrum_compare_20260714\tm_spectrum_J2p0p30_0p40_0p46_0p50_D8_chi256_kpi12.csv,/gpfs/projects/ehpc670/data/J1J2p_Honeycomb_merge(S=0.5,
0.3,0.08333333333333333,0.2617993877991494,trivial,1,0.3730066218264696,8,256,merge,strict,43282536,10/10 eigensolver gate; frozen environment loaded once,D:\1 - research\1.24 - Honeycomb_J1J2\analysis\tm_spectrum_compare_20260714\tm_spectrum_J2p0p30_0p40_0p46_0p50_D8_chi256_kpi12.csv,/gpfs/projects/ehpc670/data/J1J2p_Honeycomb_merge(S=0.5,
0.3,0.08333333333333333,0.2617993877991494,trivial,2,0.41201109544193193,8,256,merge,strict,43282536,10/10 eigensolver gate; frozen environment loaded once,D:\1 - research\1.24 - Honeycomb_J1J2\analysis\tm_spectrum_compare_20260714\tm_spectrum_J2p0p30_0p40_0p46_0p50_D8_chi256_kpi12.csv,/gpfs/projects/ehpc670/data/J1J2p_Honeycomb_merge(S=0.5,
0.3,0.08333333333333333,0.2617993877991494,trivial,3,0.6779389866340071,8,256,merge,strict,43282536,10/10 eigensolver gate; frozen environment loaded once,D:\1 - research\1.24 - Honeycomb_J1J2\analysis\tm_spectrum_compare_20260714\tm_spectrum_J2p0p30_0p40_0p46_0p50_D8_chi256_kpi12.csv,/gpfs/projects/ehpc670/data/J1J2p_Honeycomb_merge(S=0.5,
0.3,0.08333333333333333,0.2617993877991494,trivial,4,0.7361343588553716,8,256,merge,strict,43282536,10/10 eigensolver gate; frozen environment loaded once,D:\1 - research\1.24 - Honeycomb_J1J2\analysis\tm_spectrum_compare_20260714\tm_spectrum_J2p0p30_0p40_0p46_0p50_D8_chi256_kpi12.csv,/gpfs/projects/ehpc670/data/J1J2p_Honeycomb_merge(S=0.5,
0.3,0.08333333333333333,0.2617993877991494,trivial,5,0.7368084230392817,8,256,merge,strict,43282536,10/10 eigensolver gate; frozen environment loaded once,D:\1 - research\1.24 - Honeycomb_J1J2\analysis\tm_spectrum_compare_20260714\tm_spectrum_J2p0p30_0p40_0p46_0p50_D8_chi256_kpi12.csv,/gpfs/projects/ehpc670/data/J1J2p_Honeycomb_merge(S=0.5,
0.3,0.08333333333333333,0.2617993877991494,trivial,6,0.7401945915091515,8,256,merge,strict,43282536,10/10 eigensolver gate; frozen environment loaded once,D:\1 - research\1.24 - Honeycomb_J1J2\analysis\tm_spectrum_compare_20260714\tm_spectrum_J2p0p30_0p40_0p46_0p50_D8_chi256_kpi12.csv,/gpfs/projects/ehpc670/data/J1J2p_Honeycomb_merge(S=0.5,
0.3,0.08333333333333333,0.2617993877991494,trivial,7,0.8196808920631465,8,256,merge,strict,43282536,10/10 eigensolver gate; frozen environment loaded once,D:\1 - research\1.24 - Honeycomb_J1J2\analysis\tm_spectrum_compare_20260714\tm_spectrum_J2p0p30_0p40_0p46_0p50_D8_chi256_kpi12.csv,/gpfs/projects/ehpc670/data/J1J2p_Honeycomb_merge(S=0.5,
